index,chembl_id,conf_id
364495,CHEMBL3659893,conf_01
24295,CHEMBL120563,conf_00
126188,CHEMBL185198,conf_02
587334,CHEMBL44814,conf_01
549961,CHEMBL41597,conf_02
636622,CHEMBL580490,conf_01
997,CHEMBL101965,conf_02
127541,CHEMBL1870250,conf_02
636904,CHEMBL582932,conf_02
217026,CHEMBL2381644,conf_01
230855,CHEMBL2442644,conf_02
526043,CHEMBL408006,conf_02
620505,CHEMBL540,conf_01
39427,CHEMBL1293,conf_01
165289,CHEMBL206527,conf_02
86225,CHEMBL160520,conf_00
618999,CHEMBL534498,conf_02
284964,CHEMBL3228362,conf_02
514481,CHEMBL401514,conf_02
660151,CHEMBL87680,conf_00
139038,CHEMBL1939276,conf_00
550274,CHEMBL4160473,conf_00
418146,CHEMBL373333,conf_01
546771,CHEMBL4125713,conf_00
67243,CHEMBL1477033,conf_00
254177,CHEMBL292447,conf_02
172541,CHEMBL2112852,conf_00
320190,CHEMBL341572,conf_02
7451,CHEMBL1083683,conf_02
50026,CHEMBL1365734,conf_02
103117,CHEMBL1732874,conf_00
25829,CHEMBL1213897,conf_02
100097,CHEMBL1708074,conf_00
194018,CHEMBL223643,conf_01
199107,CHEMBL2303819,conf_02
36945,CHEMBL1277240,conf_02
328366,CHEMBL355001,conf_01
608531,CHEMBL49963,conf_01
601329,CHEMBL483262,conf_02
313198,CHEMBL338540,conf_02
277100,CHEMBL3181806,conf_01
225199,CHEMBL2418355,conf_00
285871,CHEMBL3234372,conf_02
253291,CHEMBL290270,conf_00
479242,CHEMBL3938903,conf_02
177472,CHEMBL2151192,conf_01
95455,CHEMBL167911,conf_02
341992,CHEMBL3629339,conf_02
164674,CHEMBL2063405,conf_01
91887,CHEMBL164631,conf_01
242999,CHEMBL265112,conf_01
637317,CHEMBL583923,conf_01
660247,CHEMBL87881,conf_01
207844,CHEMBL2335231,conf_01
74674,CHEMBL1526,conf_00
148133,CHEMBL198767,conf_01
279880,CHEMBL3197284,conf_00
142444,CHEMBL1950962,conf_00
503657,CHEMBL3973634,conf_01
295973,CHEMBL3298946,conf_02
421157,CHEMBL3746852,conf_00
93615,CHEMBL166696,conf_01
49157,CHEMBL136027,conf_00
493793,CHEMBL3959255,conf_00
228660,CHEMBL2432039,conf_01
252622,CHEMBL288524,conf_00
272561,CHEMBL312823,conf_00
49846,CHEMBL136461,conf_02
531924,CHEMBL4093240,conf_02
369606,CHEMBL3664907,conf_01
625167,CHEMBL554418,conf_01
559578,CHEMBL4205402,conf_02
616283,CHEMBL521446,conf_00
114835,CHEMBL1797518,conf_01
91488,CHEMBL1644918,conf_01
53248,CHEMBL1384838,conf_00
109323,CHEMBL1774319,conf_01
161127,CHEMBL2047351,conf_01
116177,CHEMBL18019,conf_02
127063,CHEMBL186537,conf_02
319648,CHEMBL3414586,conf_01
155248,CHEMBL2023167,conf_02
412150,CHEMBL3717093,conf_02
557264,CHEMBL418176,conf_00
660757,CHEMBL88985,conf_02
103603,CHEMBL173698,conf_01
196887,CHEMBL2273035,conf_02
595243,CHEMBL469641,conf_01
636906,CHEMBL582937,conf_01
280888,CHEMBL3207739,conf_00
81586,CHEMBL1572983,conf_01
438659,CHEMBL3823800,conf_01
237149,CHEMBL253859,conf_02
84125,CHEMBL15891,conf_02
225452,CHEMBL2419086,conf_00
132989,CHEMBL191544,conf_01
195076,CHEMBL2252840,conf_00
191500,CHEMBL221186,conf_01
85117,CHEMBL159758,conf_00
